gene,scna_count,scna_frequency,mutation_count,mutation_frequency,combined_count,combined_frequency,selected_top500
S100A1,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
S100A13,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
S100A14,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
SNORA20|ENSG00000206649.1,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
SNORD65|ENSG00000238936.1,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
U3|ENSG00000221673.1,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
snoU13|ENSG00000239046.1,83,0.10654685494223363,0,0.0,83,0.10654685494223363,False
CRTC2,82,0.10526315789473684,1,0.0012836970474967907,83,0.10654685494223363,False
IARS2,82,0.10526315789473684,1,0.0012836970474967907,83,0.10654685494223363,False
TNNI1,82,0.10526315789473684,1,0.0012836970474967907,83,0.10654685494223363,False
DHX40,81,0.10397946084724005,5,0.006418485237483954,83,0.10654685494223363,False
